event_date,daily_trx
2020-10-27,4240
2019-11-30,4222
2020-12-15,9418
2021-07-15,7346
2023-04-19,38204
2022-02-13,4422
2023-11-11,42281
2020-10-15,3169
2020-05-22,3149
2022-07-14,46314
2019-09-06,1646
2021-06-25,11520
2020-09-07,3933
2020-04-18,1262
2021-03-12,4015
2023-04-23,35139
2020-12-19,6580
2021-08-27,16629
2020-02-22,2321
2020-07-04,2760
2021-10-21,5981
2022-10-09,24890
2022-02-26,11283
2022-07-18,48863
2019-09-23,1754
2021-03-31,9147
2020-03-27,1705
2023-02-02,73189
2019-11-26,3803
2020-11-11,3647
2021-04-15,6817
2021-11-11,7505
2019-12-25,1810
2021-01-26,8279
2023-02-24,81923
2020-09-11,3129
2023-03-26,38943
2023-07-03,86143
2023-03-13,41822
2021-07-28,17631
2020-07-13,2752
2021-04-30,14349
2022-05-04,13039
2023-06-11,42578
2021-06-29,15892
2021-05-11,7564
2022-01-31,13275
2023-10-29,71591
2023-11-15,54529
2022-11-12,28563
2021-09-10,6937
2021-06-21,8436
2023-11-21,54976
2020-03-18,2380
2021-04-11,6965
2020-03-08,1736
2022-05-23,9273
2021-12-16,9006
2023-01-16,52735
2022-04-15,7833
2023-01-29,43911
2021-09-21,6681
2022-11-08,37151
2022-05-26,14265
2023-08-06,53963
2022-06-29,100829
2020-08-29,4121
2020-01-07,3107
2022-03-15,8828
2023-07-20,41308
2023-02-26,42930
2019-12-23,3964
2020-02-20,2442
2021-12-31,9368
2019-10-29,3410
2021-07-30,11864
2024-02-15,59578
2022-03-29,21221
2023-01-31,82762
2023-11-30,95609
2022-10-26,56994
2022-10-11,72093
2022-07-01,65431
2023-07-16,27132
2023-02-09,44498
2019-09-08,965
2023-11-13,80394
2022-02-15,7841
2022-01-25,9961
2023-01-18,38365
2021-12-01,13965
2019-11-11,2765
2022-08-19,32639
2021-08-29,8422
2019-10-12,2643
2021-04-13,10492
2020-07-17,3031
2020-02-26,3165
2023-05-23,50176
2021-11-29,16980
2023-09-04,105711
2021-11-20,5069
2020-04-15,1628
2020-08-16,2212
2023-05-08,57804
2024-02-21,82478
2023-11-02,55479
2023-06-29,100760
2022-06-14,7721
2023-02-20,36190
2020-05-07,1804
2021-01-11,6380
2023-12-19,72540
2022-12-30,103383
2024-01-14,32846
2021-08-10,7966
2020-08-03,5689
2023-02-11,31219
2021-06-10,7451
2023-11-28,115781
2022-11-14,38526
2023-07-05,94761
2023-03-15,44751
2023-06-12,65490
2019-09-21,3100
2021-06-08,7502
2021-01-05,6365
2021-04-17,6774
2023-12-30,71087
2023-09-19,52527
2023-08-20,28724
2020-06-30,7438
2022-01-06,9918
2019-10-14,2246
2019-10-23,2621
2021-08-31,13614
2020-11-30,7349
2022-04-04,13613
2020-01-24,2637
2022-12-01,100628
2023-06-18,25991
2023-03-09,47927
